,titles,abstarcts
33,"
                  Application of LDA to bubbly flows
                  ","""... The fluctuating velocity field in an air–water bubble column (i.d. 15.2 cm) at a gas fraction of 25 % is investigated using backscatter LDA. Since the interpretation of LDA signals in bubbly flows is not straight forward also experiments on a single bubble train are reported. It is discussed that in ..."""
34,"
                  Parameter Estimation for LDA-Frames
                  ","""... LDA-frames is an unsupervised approach for identifying semantic frames from semantically unlabeled text corpora, and seems to be a useful competitor for manually created databases of selectional preferences. The most limiting property of the algorithm is such that the number of frames and roles must ..."""
35,"
                  VISEME SEGMENTATION BY LDA HYSTERESIS
                  ","""... In this paper a viseme segmentation method based on Linear Discriminant Analysis (LDA) is presented in order to separate facial skin from lips. The algorithm works on color pictures of human faces using a novel rbS color space. Final effect is achieve by applying a hysteresis concept of two threshol ..."""
36,"
                  Correlations and Anticorrelations in LDA Inference
                  ","""... Inference of the document-specific topic distributions in latent Dirichlet allocation (LDA) [2] and decoding in compressed sensing [3] exhibit many similarities. Given a matrix and a noisy observed vector, the goal of both tasks is to recover a sparse vector that, when combined with the matrix, prov ..."""
37,"
                  Experiments with LDA and Probabilistic
                  ","""... this report, we present results of various tests involving two state-of-the-art face verification algorithms, namely LDA (Linear Discriminant Analysis [1]) and PM [4] (Probabilistic Matching) . Mainly, we tested the performance degradation when 1) the localization of test images is purposely perturb ..."""
38,"
                  Domain Based LDA and QDA
                  ","""... We propose an alternative to probability density clas-sifiers based on normal distributions LDA and QDA. In-stead of estimating covariance matrices using the standard maximum likelihood estimator we estimate class domains by the minimum volume enclosing ellipsoid (ν-MVEE). The ν-MVEE is a robust sta ..."""
39,"
                  with LDA and MDA Classifiers
                  ","""... In this paper BPNN performance for the gait analysis with using the different modulation techniques i.e LDA and MDA. Gait Analysis is the new technique in the biometric identification, the gait have more advantages over the field of biometric systems like face recognition, finger printing etc. Gait  ..."""
40,"
                  Online Learning for Latent Dirichlet Allocation
                  ","""... We develop an online variational Bayes (VB) algorithm for Latent Dirichlet Allocation (LDA). Online LDA is based on online stochastic optimization with a natural gradient step, which we show converges to a local optimum of the VB objective function. It can handily analyze massive document collection ..."""
41,"
                  Smoothed LDA: K∏ D∏
                  ","""... p(w) = d=1 n=1 p(wd,n) ..."""
42,"
                  First LDA component
                  ","""... This paper describes a generic framework for content-based music similarity classification that combines supervised and unsupervised models in a extensible and scalable way. The output of different models are combined via rankaggregation which allows one to extend the functional range of the framewo ..."""
43,"
                  A(LDA,*), ZETA(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F01QGF reduces the m by n (m of orthogonal transformations. n) real upper trapezoidal matrix A to upper tri ..."""
44,"
                  A(LDA,*), ZETA(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F01QJF finds the RQ factorization of the real m by n (m n) matrix A, so that A is reduced to upper triangul ..."""
45,"
                  A(LDA,*), THETA(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F01RGF reduces the complex m by n (m means of unitary transformations. n) upper trapezoidal matrix A to upp ..."""
46,"
                  INTEGER N, LDA
","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F06RMF returns, via the function name, the value of the 1-norm, the 1-norm, the Frobenius norm, or the maxi ..."""
47,"
                  A(LDA,*), THETA(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F01RJF finds the RQ factorization of the complex m by n (m n), matrix A, so that A is reduced to upper tria ..."""
48,"
                  A(LDA,N), WK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose G05QAF generates a random orthogonal matrix. ..."""
49,"
                  A(LDA,N)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
50,"
LDA Local Development Approach
                  ","""... Quotation is authorised as long as the source is acknowledged. The text is not binding for the European Commission Call for tenders by open procedure n° 2010.CE.16.0.AT.054 – Study on the contribution of local development in delivering interventions co-financed by the European Regional Development F ..."""
51,"
LDA Lithium diisopropylamine
                  ","""... Abstract: Solid phase organic synthesis is a rapidly expanding area of synthetic chemistry which is being widely exploited in the search for new biologically active compounds by combinatorial tech-niques. This review introduces the key concepts of solid phase methodology and combinatorial synthesis  ..."""
52,"
LDA Local Density Approximation
                  ","""...  ..."""
53,"
                  Discriminant Analysis by Gaussian Mixtures
                  ","""... Fisher-Rao linear discriminant analysis (LDA) is a valuable tool for multigroup classification. LDA is equivalent to maximum likelihood classification assuming Gaussian distributions for each class. In this paper, we fit Gaussian mixtures to each class to facilitate effective classification in non-n ..."""
54,"
                  Linear dimensionality reduction via a heteroscedastic extension of lda: The chernoff criterion
                  ","""... Abstract—We propose an eigenvector-based heteroscedastic linear dimension reduction (LDR) technique for multiclass data. The technique is based on a heteroscedastic two-class technique which utilizes the so-called Chernoff criterion, and successfully extends the well-known linear discriminant analys ..."""
55,"
                  MedLDA: Maximum Margin Supervised Topic Models for Regression and Classification
                  ","""... Supervised topic models utilize document’s side information for discovering predictive low dimensional representations of documents; and existing models apply likelihoodbased estimation. In this paper, we present a max-margin supervised topic model for both continuous and categorical response variab ..."""
56,"
                  Fusion of LDA and PCA for Face Verification
                  ","""... Although face verification systems have proven to be reliable in ideal  environments, they can be very sensitive to real environmental conditions. The  system robustness can be increased by the fusion of different face verification  algorithms. To the best of our knowledge, no face verification syst ..."""
57,"
                  Topics, Topic
                  ","""... LDA ..."""
58,"
                  On matching scores for lda-based face verification
                  ","""... We address the problem of face verification using linear discriminant anal-ysis and investigate the issue of matching score1. We establish the reason behind the success of the normalised correlation. The improved understand-ing about the role of metric then naturally leads to a novel way of measurin ..."""
59,"
                  Solving the Small Sample Size Problem of LDA
","""... The small sample size problem is often encountered in pattern recognition. It results in the singularity of the within-class scatter matrix Sw in Linear Discriminant Analysis (LDA). Different methods have been proposed to solve this problem in face recognition literature. Some methods reduce the dim ..."""
60,"
                  Topic and role discovery in social networks
                  ","""... Previous work in social network analysis (SNA) has modeled the existence of links from one entity to another, but not the language content or topics on those links. We present the Author-Recipient-Topic (ART) model for social network analysis, which learns topic distributions based on the direction- ..."""
61,"
                  Fusion of LDA and PCA for Face Recognition
                  ","""... Although many approaches for face recognition have been proposed in  the last years, none of them can overcome the main problem of this kind of  biometrics: the huge variability of many environmental parameters (lighting, pose,  scale). Hence, face recognition systems can achieve good results at the ..."""
62,"
                  A New Weighted LDA Method in Comparison to Some Versions of LDA
","""... Abstract—Linear Discrimination Analysis (LDA) is a linear solution for classification of two classes. In this paper, we propose a variant LDA method for multi-class problem which redefines the between class and within class scatter matrices by incorporating a weight function into each of them. The a ..."""
63,"
                  Normalized LDA for Semi-supervised Learning
                  ","""... Linear Discriminant Analysis (LDA) has been a popular method for feature extracting and face recognition. As a supervised method, it requires manually labeled samples for training, while making labeled samples is a time consuming and exhausting work. A semi-supervised LDA (SDA [3]) has been proposed ..."""
64,"
                  A New Weighted LDA Method in Comparison to Some Versions of LDA
","""... Abstract—Linear Discrimination Analysis (LDA) is a linear solution for classification of two classes. In this paper, we propose a variant LDA method for multi-class problem which redefines the between class and within class scatter matrices by incorporating a weight function into each of them. The a ..."""
65,"
                  Boosted-LDA for Biomedical Data Analysis
                  ","""... Abstract. We propose a novel approach to boosting weighted linear discriminant analysis (LDA) as a weak classifier. Combining Adaboost with LDA allows selecting the most relevant features for classification at each boosting iteration, thus benefiting from feature correlation. The advantages of this  ..."""
66,"
                  Gait Recognition Based on PCA and LDA
","""... Abstract—This paper proposes a new gait recognition method using Principal Component Analysis (PCA) and Linear Discriminant Analysis (LDA). PCA is first applied to 1D time-varying distance signals derived from a sequence of silhouette images to reduce it’s dimensionality. Then, LDA is performed to o ..."""
67,"
                  REGULARIZATION STUDIES ON LDA FOR FACE RECOGNITION
                  ","""... It is well-known that the applicability of Linear Discriminant Analysis (LDA) to high-dimensional pattern classification tasks such as face recognition (FR) often suffers from the so-called “small sample size ” (SSS) problem arising from the small number of available training samples compared to the ..."""
68,"
                  Local Binary LDA for Face Recognition
                  ","""...  Abstract. Extracting discriminatory features from images is a crucial task for biometric recognition. For this reason, we have developed a new method for the extraction of features from images that we have called local binary linear discriminant analysis (LBLDA), which combines the good characteris ..."""
69,"
                  An Efficient LDA Algorithm for Face Recognition
                  ","""... It has been demonstrated that the Linear Discriminant Analysis (LDA) approach outperforms the Principal Component Analysis (PCA) approach in face recognition tasks. Due to the high dimensionality of a image space, many LDA based approaches, however, first use the PCA to project an image into a lower ..."""
70,"
                  Analysis of LDA-based matching schemes for
                  ","""... The performance of face verification system using linear discriminant analysis  (LDA) depends on many factors such as the image geometric registration,  the feature space dimensions, photometric normalisations, matching schemes  adapted in the LDA subspace, etc. In this paper, the relationships amon ..."""
71,"
                  Improved LDA and LVQ for Face Recognition
                  ","""...  Abstract: We present a hybrid face recognition algorithm which is based on the linear discriminant analysis (LDA) improved by a fusion technique and learning vector quantization (LVQ) in the paper. Firstly, the improved LDA is utilized to reduce the sample vector dimension, and then the LVQ classif ..."""
72,"
                  REGULARIZED D-LDA FOR FACE RECOGNITION
                  ","""... Linear Discriminant Analysis (LDA) is derived from the optimal Bayes classifier when classes are assumed to be Gaussian with identical covariance matrices. However, it is well known that the distribution of face images under a perceivable variation in viewpoint, illumination or facial expression, is ..."""
73,"
                  Contextual Modeling with Labeled Multi-LDA
","""... Abstract — Learning about activities and object affordances from human demonstration are important cognitive capabilities for robots functioning in human environments, for example, being able to classify objects and knowing how to grasp them for different tasks. To achieve such capabilities, we prop ..."""
74,"
                  Finding Topics in Emails: Is LDA enough?
                  ","""... Our research addresses the task of finding topics at the sentence level in email conversations. As an asynchronous collaborative application, email has its own characteristics which differ from written monologues (e.g., text books, news articles) or spoken dialogs (e.g., meetings). Hence, the genera ..."""
75,"
                  Electronic Structure Calculations with LDA+DMFT
                  ","""... Abstract The LDA+DMFT method is a very powerful tool for gaining insight into the physics of strongly correlated materials. It combines traditional ab-initio density-functional techniques with the dynamical mean-field theory. The core as-pects of the method are (i) building material-specific Hubbard ..."""
76,"
                  Stream-Weight Optimization by LDA and Adaboost
                  ","""... This paper proposes an automatic stream-weight optimization method for noise-robust speaker verification using multi-stream HMMs integrating spectral and prosodic information. The paper first shows the effectiveness of the multi-stream technique in our speaker verification framework. Next, a stream- ..."""
77,"
                  LANGUAGE IDENTIFICATION USING G-LDA
","""... Language Identification has an important role in Natural Language processing applications as one of the pre-processing steps. There are various mechanisms in use today to achieve this task with brilliant recognition rates. Recent years have seen rapid growth in international communication which has  ..."""
78,"
                  Making the Most of . . . : Confused Supervised LDA
","""... Corpus labeling projects frequently use low-cost workers from microtask market-places; however, these workers are often inexperienced or have misaligned incentives. Crowdsourcing models must be robust to the resulting systematic and non-systematic inaccuracies. We introduce a novel crowdsourcing mod ..."""
79,"
                  Facial Expression Recognition with PCA And LDA
","""... Abstract-- Facial expression provides an important behavioural measure for studies of emotion, cognitive processes, and social interaction. Facial expression recognition has recently become a promising research area. Its applications include human-computer interfaces, human emotion analysis, and med ..."""
80,"
                  Analysis of Curriculum Structure Based on LDA
","""... Abstract — A good curriculum is crucial for a successful university education. When developing a curriculum, top-ics, such as natural science, informatics, etc. are set first, and then course syllabi are written accordingly. However, there is no guarantee that the topics actually covered by the cour ..."""
81,"
                  Infinite Mean Models and the LDA for Operational Risk
                  ","""...  ..."""
82,"
                  Online Courses Recommendation based on LDA
","""... In this paper we propose a course recommen-dation system based on historical grades of students in college. Our model will be able to recommend available courses in sites such as: Coursera, Udacity, Edx, etc. To do so, proba-bilistic topic models are used as follows. On one hand, Latent Dirichlet Al ..."""
83,"
LDA+ TCP-Friendly Adaptation: A Measurement and Comparison Study
                  ","""... Abstract — In this paper, we present an end-to-end adaptation scheme, called the enhanced loss-delay based adaptation algorithm (LDA+) for regulating the transmission behavior of multimedia senders in accordance with the network congestion state. LDA+ uses the real-time transport protocol (RTP) for  ..."""
84,"
                  Identifying Comparable Corpora Using LDA
","""... Parallel corpora have applications in many areas of Natural Language Processing, but are very expensive to produce. Much information can be gained from comparable texts, and we present an algorithm which, given any bodies of text in multiple languages, uses existing named entity recognition software ..."""
85,"
LDA-BASED PERSONALIZED DOCUMENT RECOMMENDATION
                  ","""...  Abstract ..."""
86,"
                  DOUBLE PRECISION A(LDA,∗) INTEGER
                  ","""... Note: Before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description X04BGFP reads an m by n real matrix A from an ..."""
87,"
                  On matching scores for LDA-based face
                  ","""... We address the problem of face verification using linear discriminant analysis  and investigate the issue of matching score    . We establish the reason  behind the success of the normalised correlation. The improved understanding  about the role of metric then naturally leads to a novel way of meas ..."""
88,"
                  An Efficient LDA Algorithm for Face Recognition
                  ","""...  ..."""
89,"
                  complex A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
90,"
                  complex A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NTF (CUNGHR=ZUNGHR) generates the complex unitary matrix Q which was determined by F08NSF (CGEHRD=ZGEHRD ..."""
91,"
                  real A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NFF (SORGHR=DORGHR) generates the real orthogonal matrix Q which was determined by F08NEF (SGEHRD=DGEHRD ..."""
92,"
                  real A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
93,"
                  complex A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08KTF (CUNGBR=ZUNGBR) generates one of the complex unitary matrices Q or P H which were determined by F08K ..."""
94,"
                  DOUBLE PRECISION A(LDA,*) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F01ZSFP generates a m by n real matrix A on a ..."""
95,"
                  DOUBLE PRECISION A(LDA,*) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F01ZRFP generates a distributed m by n real m ..."""
96,"
                  Magnetism of correlated systems: beyond LDA
","""... ar ..."""
97,"
                  Topic Models (pLSA LDA);
                  ","""... • MARR relies only on the pre-labeled attributes to design the dependency model. • User labeling is a burdensome process. The small amount of attributes are far from sufficient in forming an expressive feature space. 2. Our Solution • Weak Attributes are a collection of mid-level representations, wh ..."""
98,"
LDA/SVM Driven Nearest Neighbor Classification
                  ","""... Nearest neighbor classification relies on the assumption that class conditional probabilities are locally constant. This assumption becomes false in high dimensions with finite samples due to the curse of dimensionality. The nearest neighbor rule introduces severe bias under these conditions. We pro ..."""
99,"
                  Topic significance ranking of LDA generative models
                  ","""... Abstract. Topic models, like Latent Dirichlet Allocation (LDA), have been recently used to automatically generate text corpora topics, and to subdivide the corpus words among those topics. However, not all the estimated topics are of equal importance or correspond to genuine themes of the domain. So ..."""
100,"
                  Topic-Link LDA: Joint Models of Topic and Author Community
                  ","""... Given a large-scale linked document collection, such as a collection of blog posts or a research literature archive, there are two fundamental problems that have generated a lot of interest in the research community. One is to identify a set of high-level topics covered by the documents in the colle ..."""
101,"
                  Discovering object categories in image collections  
                  ","""... Given a set of images containing multiple object categories, we seek to discover those categories and their image locations without supervision. We achieve this using generative models from the statistical text literature: probabilistic Latent Semantic Analysis (pLSA), and Latent Dirichlet Allocatio ..."""
102,"
                  Constrained LDA for Grouping Product Features in Opinion Mining
                  ","""... Abstract. In opinion mining of product reviews, one often wants to produce a summary of opinions based on product features/attributes. However, for the same feature, people can express it with different words and phrases. To produce an effective summary, these words and phrases, which are domain syn ..."""
103,"
                  Text segmentation with LDA-based Fisher kernel
                  ","""... In this paper we propose a domainindependent text segmentation method, which consists of three components. Latent Dirichlet allocation (LDA) is employed to compute words semantic distribution, and we measure semantic similarity by the Fisher kernel. Finally global best segmentation is achieved by dy ..."""
104,"
                  Pachinko allocation: DAG-structured mixture models of topic correlations
                  ","""... Latent Dirichlet allocation (LDA) and other related topic models are increasingly popular tools for summarization and manifold discovery in discrete data. However, LDA does not capture correlations between topics. In this paper, we introduce the pachinko allocation model (PAM), which captures arbitr ..."""
105,"
                  Link-plsa-lda: A new unsupervised model for topics and influence in blogs
                  ","""... In this work, we address the twin problems of unsupervised topic discovery and estimation of topic specific influence of blogs. We propose a new model that can be used to provide a user with highly influential blog postings on the topic of the user’s interest. We adopt the framework of an unsupervis ..."""
106,"
                  Incremental LDA Learning by Combining Reconstructive and Discriminative Approaches
                  ","""... Incremental subspace methods have proven to enable efficient training if large amounts of training data have to be processed or if not all data is available in advance. In this paper we focus on incremental LDA learning which provides good classification results while it assures a compact data repre ..."""
107,"
Lda based similarity modeling for question answering
                  ","""... We present an exploration of generative modeling for the question answering (QA) task to rank candidate passages. We investigate Latent Dirichlet Allocation (LDA) models to obtain ranking scores based on a novel similarity measure between a natural language question posed by the user and a candidate ..."""
108,"
                  Factorial LDA: Sparse Multi-Dimensional Text Models
                  ","""... Latent variable models can be enriched with a multi-dimensional structure to consider the many latent factors in a text corpus, such as topic, author perspective and sentiment. We introduce factorial LDA, a multi-dimensional model in which a document is influenced by K different factors, and each wo ..."""
109,"
                  Using LDA to detect semantically incoherent documents
                  ","""... Detecting the semantic coherence of a document is a challenging task and has several applications such as in text segmentation and categorization. This paper is an attempt to distinguish between a ‘semantically coherent ’ true document and a ‘randomly generated ’ false document through topic detecti ..."""
110,"
                  “Infinite LDA ” – Implementing the HDP with minimum code complexity
                  ","""... Abstract. Shows how the hierarchical Dirichlet process (HDP) may be implemented in a simple way, following the idea that the HDP is an extension to its parametric counterpart, latent Dirichlet allocation (LDA). Document version: draft, version 0.92, 20 Feb. 2011 (version 0.1: May 2008). ..."""
111,"
                  Topictiling: a text segmentation algorithm based on lda
","""... This work presents a Text Segmentation algorithm called TopicTiling. This algorithm is based on the well-known TextTiling algorithm, and segments documents using the Latent Dirichlet Allocation (LDA) topic model. We show that using the mode topic ID assigned during the inference method of LDA, used  ..."""
112,"
                  Component-based LDA Face Descriptor for Image Retrieval
                  ","""... We present a component-based face descriptor with LDA (Linear  Discriminant Analysis) and a simple pose classification. Our algorithm has  been developed to deal with face image retrieval in huge database such as  those in internet environments. Such retrieval requires a compact face  descriptor and ..."""
113,"
                  Infinite-mean models and the LDA for operational risk
                  ","""... Due to published statistical analyses of operational risk data, methodological approaches to the “advanced measurement approach” modeling of operational risk can be discussed in more detail. In this paper we raise some issues concerning correlation (or diversification) effects, the use of extreme va ..."""
114,"
                  Reliable LDA-spectra by resampling and ARMA-modeling
                  ","""... Abstract—Laser-Doppler Anemometry (LDA) is used to measure the velocity of gases and liquids with observations irregularly spaced in time. Equidistant resampling turns out to be better than slotting techniques. After resampling, two ways of spectral estimation are compared. The first estimate is a w ..."""
