,short_text
52,"India defeat Australia in last over, win their 5th consecutive T20I series"
53,"Lost a role because I look too good, colour of my skin is a disadvantage: Dia"
54,New penis-shaped sculpture appears in Germany after old one goes missing
55,Will send him a text tonight: Kohli as video of his 6 with ABD-like shot goes viral
56,'Gupkar Gang' never gave you right to vote: Smriti to refugees in J&K
57,"Didn't ignore protocol, got admitted 30 min after testing COVID +ve: Vij"
58,Foreign funds new East India Company colonising startups: Naukri.com Founder
59,Int'l Space Station shares pics of full moon taken from '250 miles above Earth'
60,"In Varanasi, BJP loses 2 seats to SP in local polls after 10 years"
61,Kumbh Mela tent supplier defrauds UP govt of ₹109.85 crore with fake bills
62,Farmers are roots of our business: Transport unions support Bharat Bandh
63,Delhi BJP spokesperson and his wife killed in road accident in UP
64,2 men arrested under anti-conversion law in UP's Moradabad
65,Classics shouldn't be touched: Saira on reports of Dilip's 'Shakti' remake
66,US reports nearly 2.3 lakh coronavirus cases on Saturday
67,COVID-19 could push 20.7 cr more people into extreme poverty: UNDP
68,Not being able to train in NZ has affected our players: Misbah
69,"Top 4 runners break half marathon's world record, Kenyan runner sets new record"
70,Many accounts engaged with China's tweet on Aus soldier fake: Report
71,Banks need experienced chief risk officers to handle cybercrime: Deloitte
72,Japan's capsule carrying asteroid rocks lands after 6-yr long mission
73,"Woman held in Pune for travelling to UAE using fake name, forged ID"
74,Jewellery worth ₹5L stolen from check-in bag of B'luru-bound couple
75,2 get 20 years in jail for sexually abusing 3-year-old Mumbai girl
76,"Dad, brother chop off woman's 4 fingers for planning to marry lover"
77,"SP sits in mandap, makes bride and groom take Covid-19 safety pledge in U'khand"
78,Saif withdraws statement on his film Adipurush 'justifying Sita's abduction' 
79,SA-Eng 1st ODI called off again after hotel staff tests COVID-19 positive
80,"Steyn gets angry at fan for suggesting normal haircut, calls him 'Mr ugly mustache'"
81,"Shuttlers Parupalli Kashyap, HS Prannoy test COVID-19 positive"
82,"2 crore Gionee mobiles were secretly planted with malware, says China court"
83,Elderly woman escapes unhurt after being run over by truck in TN
84,"'Shallow fog' seen in Delhi as temperature dips, air quality 'very poor'"
85,Delhi CM has urged AAP workers to support Bharat Bandh: Gopal Rai
86,"MSP will continue, government can give it in writing: Union Minister"
87,"Woman offers to donate her eggs to help father, ex-boyfriend have a baby"
88,We're exploring opportunities: Mukesh on Fardeen's comeback plan
89,"PMC's COVID-19 tally reaches 1,71,769 with 351 new positive cases"
90,Aus must be frustrated but fair on India to use concussion sub: Gambhir
91,Gill should play in middle order as Kohli's replacement in last 3 Tests: Aakash
92,"Not surprised Shreyas was dropped, it's Team India's culture now: Kaif"
93,IISc team working on COVID-19 detection via artificial intelligence
94,₹2.46 cr robot that can cook meals from scratch created by UK company
95,Sick of talking about Microsoft: Slack CEO if competition forced Salesforce deal
96,CM refuses to admit Delhi's poor AQI is due to internal causes: Cong
97,India to have over 50 unicorn startups by 2022: STPI Director-General
98,Declare BBMP polls in 6 weeks from state's final reservation notice date: HC to SEC
99,Most complaints on Green Delhi app since Oct about garbage dumping
100,"Burst pipeline near Mahim repaired, will repair road in 2 days: BMC"
101,GMDA plans to develop Gurugram's first dedicated parking app
102,Ex-Iranian VP sentenced to 2 yrs in jail for leaking classified info
103,"Salma Agha's daughter gets rape threats on Insta, female student from Hyd booked"
104,Rahul Roy's 1st video from hospital as he recovers from brain stroke surfaces
105,"Indian-origin UK man finds WWII shelter in his lawn after 40 yrs, turns it into bar"
106,"If govt doesn't withdraw the black laws, I'll return my Khel Ratna: Vijender "
107,"Wade gives up thinking Kohli took catch & gets run-out after catch drop, video viral"
108,Basketball jersey Obama wore 41 years ago in school sells for ₹1.4 crore
109,Would've remained CM if I allied with BJP: Ex-K'taka CM Kumaraswamy
110,Kerala CM asks Centre not to name RGCB after RSS ideologue Golwalkar
111,Congress decides to support Bharat bandh on December 8
112,Bengal woman recovers from COVID-19 few days before her 100th birthday
113,Granthi kills another granthi by hitting him with tabla at Delhi gurudwara
114,Power demand in Delhi increases in November due to early winter
115,What all will the new Parliament building being built for ₹970 crore offer?
116,"Man maintains social distance from wife amid COVID-19, she says he's impotent"
117,'Thundersnow' wakes up people with loud explosion-like noise in Edinburgh
118,Security guard dies after falling while changing poster at Bengaluru theatre
119,Letitia deletes social media accounts amid anti-vaccine video criticism
120,People want to watch movies in the theatres: Manoj Bajpayee 
121,Ate and cherished every morsel without worrying: Shreyas on weight gain
122," My daughter is a gift, but sleep is a challenge: Katy Perry"
123,She is a phenomenon: Priyanka on Gal Gadot's 'Wonder Woman 1984'
124,NTA extends AISSEE 2021 online application deadline till Dec 18
125,"UP CM starts distributing appointment letters to 36,950 assistant teachers"
126,"Twitter allows physical security key support for iPhones, Android devices"
127,Elon Musk plans to move to Texas to save billions in tax: Reports
128,"Fire breaks out at Ahmedabad shopping complex, around 20 shops gutted"
129,227 fall ill in Andhra Pradesh due to suspected water contamination
130,Manipal University Jaipur launches UGC-recognised online MCA
131,My wife is Russian and she has converted to Hinduism: Rahul Mahajan
132,"H'yana Health Min, who took COVAXIN trial dose, issues statement on getting COVID-19"
133,"India reports 36,011 new coronavirus cases, 482 more deaths"
134,Steve Waugh's son Austin takes break from cricket aged 21
135,Woman admits she filed rape case against man 'out of anger'; HC accepts apology
136,"Petrol, diesel prices hiked for 5th straight day; rates touch 2-yr high"
137,13 infants die in MP's Shahdol district hospital in 8 days
138,"WTI gives Kerala fishermen ₹10,000 for releasing whale shark back in sea"
139,20 injured in cylinder blast in Mumbai; 2 fire brigades on spot
140,Farmers' protest enters 9th day at Uttar Pradesh-Delhi border
141,He risked his entire presidency: Biden on Obama's decision to kill Laden
142,I'm quite happy with how 2020 turned out for me: Shweta
143,2020 has been a special year: Nawazuddin Siddiqui
144,Hyderabad reports 104 of 622 new COVID-19 +ve cases in Telangana
145,S Jaishankar pulls out of Canada-led COVID-19 meeting: Reports
146,"Prithvi Shaw, Shubman Gill dismissed for ducks in warm-up game vs Aus A"
147,"Don't see the need to replace Virat with Rohit as ODI, T20I captain: Laxman"
148,Apple CEO Tim Cook adds his pronouns to his Twitter bio
149,NITI Aayog suggests regulating online fantasy sports platforms
150,"US labour board accuses Amazon of threatening, illegally firing worker"
151,Six-month-old regional social network Kutumb raises ₹15 crore 
152,Would've won over 100 seats in GHMC polls with more campaign time: T'gana BJP chief
153,Calcutta High Court hears a pending plea after 23 years
154,Bengal people are frustrated with TMC-led state govt: Dilip Ghosh
155,BJP National VP Mukul Roy named in TMC MLA murder charge sheet
156,Govt not doing enough to revive COVID-19-hit economy: WB Minister
157,Sona says her new video got comments doubting MeToo claims over 'vulgar clothes'
158,"Fardeen's pics after weight loss surface online, fans say 'What a transformation'"
159,"Aditya, Shweta were in a live-in relationship for 10 years: Udit "
160,Pfizer seeks approval for emergency use of its COVID-19 vaccine in India
161,Bar applies to become church to keep serving amid lockdown in UK
162,Looks like your listening is partial: Kartik to fan who criticised his commentary
163,"Balotelli shares video of his vandalised car, tells culprits 'Pray I never find you'"
164,"YouTuber climbs 690-foot-high, 58-floor Paris building with bare hands within an hour"
165,"Miss my fiancée, haven't met in 10 months due to COVID-19: Manpreet"
166,I wanted to rectify mistakes I made in ODIs: Chahal on Man of the Match performance
167,CAA likely to be implemented from January: Vijayvargiya in Bengal
168,Locals carry dead body on shoulders through flooded river in TN village
169,Unsafe injection exposure for 5 yrs caused surge in HIV cases in Unnao: ICMR
170,18-yr-old freezes to death after spending a week in car at -50°C in Russia
171,Head of world's largest sovereign wealth fund quits as his wife is Chinese
172,Wanted to dispel myths with 'Delhi Crime': Richie Mehta
173,I had to pile on the kilos: Abhishek on his 'Bob Biswas' role
174,Television has become regressive: Mona Singh
175,"Jadeja grossly underrated, Team India will miss him: Kaif"
176,"1,500 Google employees demand answer over researcher's alleged firing"
177,We're going to have more vaccines than we can possibly use: Elon Musk
178,Tesla reveals women comprise 17% of its total US leadership roles
179,ISRO's PSLV rocket to launch spacetech startup Pixxel's satellite
180,RJD's Tejashwi Yadav booked for staging protest against farm laws
181,Violence erupts in Paris amid protests against new security bill
182,Frequent changes to GST rates upset revenue calculations: FM
183,NMC Founder BR Shetty files petition after being stopped from flying to UAE
184,'Essex girl' removed from dictionary after women call it 'offensive'
185,COVID-19 has shown what humanity is capable of at its best and worst: WHO
186,Napoli's San Paolo stadium renamed to honour Diego Maradona
187,English cricketer Tom Banton pulls out of BBL due to 'bio-secure bubbles'
188,Courier company will return money to chess players: Rijiju on customs duty controversy
189,BJP making renewed attempts to topple my government: Rajasthan CM
190,"World's largest solar telescope releases its first pic of 10,000-mile wide sunspot"
191,2 missing minor girls found safe with a beggar family in Pune
192,50-yr-old IAS officer on poll duty in Varanasi dies of heart attack
193,"Man demands ₹30,000 as 'maintenance' from wife for giving birth to girl; booked"
194,Salute to Diljit for donating ₹1 cr to farmers without posting on social media: Singga
195,Sanjana tops IMDb list of 10 breakout stars of Indian films & series on OTT
196,Akshay thought I could shoulder it on my own: Bhumi on Durgamati
197,"I get trolled for anything I wear, it's fine: Ananya Panday"
198,"WhatsApp testing voice, video calls feature on desktop app: Report"
199,Activision sues Netflix over alleged poaching of its ex-exec in US
200,"Several injured as BJP, TMC supporters clash in West Bengal"
201,"Owaisi & KCR eat biryani together, fought polls together: Reddy"
202,Japan's spacecraft sends capsule with asteroid samples towards Earth
203,Jharkhand last state to accept Centre's borrowing plan for GST shortfall
204,New Parliament building will epitomise Atmanirbhar Bharat: LS Speaker
205,Noida Police diverts traffic towards DND due to farmers' protest 
206,UP's Dandupur railway station to be renamed as Maa Barahi Devi Dham
207,"Air quality 'severe' in Noida, Ghaziabad for 2 consecutive days"
208,Govt's consultation with farmers inconclusive; next meeting on Dec 9
209,Telangana farmers stage protests against Centre's new farm laws
210,Final deal with Qatar within reach amid support from Trump: Saudi Arabia
211,Schools for Class 1 to 8 will remain shut till March 31: MP CM
212,"Diandra shares screenshots of abusive texts, tells trolls 'Get your lawyers ready'"
213,"Diljit joins farmers' protest, says 'Talking in Hindi so people don't have to Google'"
214,COVID-19 +ve US Governor disinfects bill after signing; video viral
215,"Babar Azam, family asked by court to stop harassing woman alleging rape"
216,Fatherly advice: NCP on Sharad Pawar's 'consistency' remark on Rahul
217,"Kerala fishermen free endangered whale shark caught in net, push it into sea"
218,"Ask senior citizens, children at protest site to go home: Tomar to farmers"
219,Hindus will be beaten up if they visit church on Christmas: Bajrang Dal in Assam
220,"Canada opposes MSP at WTO, its criticism of India is hypocrisy: BJP"
221,SpiceJet flight undershoots runway in Guwahati; DGCA grounds pilots
222,Serum Institute CEO Adar Poonawalla named 'Asian of the Year' with 5 others
223,Argentina to tax the rich to pay for COVID-19 measures
224,We'll justify Raavan's abduction of Sita & war with Ram: Saif on Adipurush
225,I am happy with Rahul Roy's progress: Brother-in-law Romneer
226,We've accepted this is the new normal: Alia on shooting amid COVID-19
227,"Won't celebrate b'day this year, will pray Sushant's culprits are caught: Suman"
228,"Hyd, Delhi airports ready for COVID-19 vaccine transportation: Officials"
229,Hard to believe N Korea has no COVID-19 cases: S Korean Minister
230,JD.com to be 1st online portal to accept China's digital currency
231,"US not to extend TikTok sale deadline, talks to continue: Reports"
232,Apple to replace some iPhone 11 displays having touch issues
233,No West Bengal govt employee should be used in 2021 polls: BJP to ECI
234,BJP didn't ascertain strength of Cong-NCP-Sena: Fadnavis on MLC polls
235,Halt station near B'luru airport to get its first train next week
236,30-yr-old woman out to buy milk killed in hit-and-run in Pune
237,"Action taken against hookah parlour, illegal hotel constructions in Thane"
238,We've become 1st state to conduct over 2 cr COVID-19 tests: UP govt
239,World's biggest iceberg captured by UK Air Force aircraft; pics released
240,Man installs metal monolith outside his US store to drive up candy sales
241,"Ice-cream cone in hand, policeman shoots at thieves in Uruguay; video viral"
242,SC plea seeks refund of 'exorbitant' amounts charged for RT-PCR tests
243,"Sehwag wishes Dhawan on his 35th birthday, shares pic of his lookalike"
244,"Farmers to block more roads, occupy toll plazas on Dec 8: BKU member"
245,'Band Baaja Baraat' gang that 'leased' kids at ₹12L to steal at weddings busted
246,A moment that created a paradigm shift: Dia on winning Miss Asia Pacific
247,I'm in need of money: Vikas Gupta on saying yes to Bigg Boss 14
248,Moscow begins mass COVID-19 vaccination with its Sputnik V shot
249,Pune civic body declares 6 containment zones in revised list
250,Delhi's Sir Ganga Ram Hospital approved for Phase-3 Covaxin trials
251,Delhi govt launches forum to discuss electric vehicle policy
252,Rivigo raises ₹140 crore from SCIL after acquisition deal approval
253,Never-before-seen particle found in blood of septic patients: Study
254,4 BDA staffers caught running fake site allotment racket in B'luru
255,NGT panel fines Gurugram builder ₹10.33cr for green laws violation
256,NHAI showing indifference towards environment protection: NGT
257,"PMC digs up road constructed by college, asks it to clear debris"
258,Mumbai is heart of Hindi film industry: IMPPA in letter to Maha CM
259,Mumbai sees coldest morning of season with minimum temp of 18.4°C
260,Delhi’s local pollution sources need to be dealt with: CPCB
261,Post-Brexit trade talks paused due to 'significant divergences'
262,Pak on brink of bankruptcy under Imran Khan govt: Oppn alliance
263,"Armenia, Azerbaijan reach agreement to exchange all war prisoners"
264,Don't take part in Air India's strategic sale: Pilots' unions to employees
265,Gujarat HC judge dies of cardiac arrest during COVID-19 treatment
266,Akshay Kumar shares 'Tenet' director Christopher Nolan's handwritten note for Dimple
267,"Dharmendra gets trolled for deleting tweet on farmers' protest, issues clarification"
268,WHO chief volunteers to take COVID-19 vaccine on camera
269,When should a team doctor run out for on-field assessment for concussion as per ICC?
270,Delhi BJP councillor arrested by CBI for taking bribe; suspended by party
271,"No question of conversion, love is enough: Muslim man after UP Police stops wedding"
272,36 British MPs write to UK govt in support of farmers' protest in India
273,Can't even build their own road: Rajnath Singh takes jibe at Pakistan
274,"Farmers have right to protest peacefully, authorities should let them do so: UN "
275,Delhi riots accused gets bail for 2 weeks for niece's 'kanyadaan'
276,I hate vulgar and double-meaning type of comedy: Paresh Rawal
277,I think of myself as a guy who does not do stereotypical stuff: Vivek
278,Apne 2 will be my special tribute to 3 generations of Deols: Director
279,Kiara to star in 'Karram Kurram' based on Lijjat Papad story: Reports
280,People trying to make a fuss about it: Madhurima on controversies around B'wood
281,BMC orders closure of Global Vipassana Pagoda from Dec 5-7 amid COVID-19
282,Chinese professor pleads guilty to lying to FBI in Huawei theft case
283,Purple Style Labs acquires resort wear label Wendell Rodricks
284,40-year-old man held for murder of his 35-year-old brother in Pune
285,PM to perform 'bhumi pujan' for new Parliament building on Dec 10
286,"Western Railway diverts, cancels trains amid farmers' protest"
287,"Mumbai records lowest dengue cases in 5 yrs, cases drop by 86%"
288,"5 held for hitting, robbing Pune man of ₹1.3 lakh cash, cellphone"
289,"US ends China-funded exchange programmes, calls them 'propaganda tools'"
290,'Cruel' Trump belongs in prison after he leaves White House: Niece
291,Allowing corporates into banking isn't RBI's view: Governor Das
292,Ananya copies Khloe Kardashian's line for 'Fabulous Lives...'; trolled
293,Social media user asks others to bully Bieber's wife; singer reacts
294,"Remote Himachal village declared containment zone, panchayat blames wedding"
295,Bahrain 2nd country to approve emergency use of Pfizer's vaccine
296,Haryana minister who took trial dose of Covaxin tests positive for COVID-19
297,Joe Biden officially secures enough electors to become US President
298,"Pujara victim of racism at Yorkshire, was called 'Steve' by players: Ex-staff member"
299,Chinese scientists claim to have achieved quantum supremacy
300,"Reporter asks Trudeau about India's reaction to his comments, he repeats stance"
301,Hopeful that farmers will think positively and end protest: Union Minister
302,Jharkhand man chased for ₹3.5cr GST fraud found to be daily wage worker
303,Bharat Biotech issues statement after H'yana minister in vaccine trial tests +ve
304,"'No helmet, no fuel' rule to be imposed in Kolkata from Dec 8"
305,UN session skips Adar Poonawalla's video message citing tech issues
306,My bio on dating app would be 'only looking for love': Kiara
307,Shilpa Shukla to join Pankaj in season 2 of 'Criminal Justice'
308,"2020 brings a smile to my face, it was highly productive: Sharib"
309,"Neena, Kalki to team up for international film 'Goldfish'"
310,Delhi will combat COVID-19 if positivity rate stays below 4% for 5 days: Jain
311,Hyderabad reports 102 of 596 new COVID-19 cases in Telangana
312,WHO hopes to have 500 mn COVID-19 vaccine doses by March: Scientist
313,Ensure ads don't promote activity banned by law: Centre to broadcasters
314,Union Ministers meet PM Modi ahead of 5th round of talks with farmers
315,"WFH  govt employees must remain on call, should not leave city: Delhi govt"
316,WB CM Mamata Banerjee announces 3% DA hike for state govt staff
317,Pro-Kannada activists detained in B'luru amid K'taka bandh today
318,No gigantic inaugural parade due to coronavirus pandemic: Biden
319,Our G99+ antiviral mask reduces SARS-CoV-2* viral load: Van Heusen
320,World can start to dream about end of the pandemic: WHO on vaccine results
321,"India's COVID-19 tally crosses 96 lakh, death toll nears 1.4 lakh"
322,"After winning gold in chess olympiad, Indian team asked to pay customs duty"
323,Those in touch with opposition parties free to quit TMC: Mamata
324,"Will appear free of charge for farmers in SC, HC: Dushyant Dave"
325,Indian teacher's reaction after winning ₹7.4 crore global prize goes viral
326,We will bring bill against 'love jihad': Karnataka Dy CM
327,YouTuber arrested as pregnant girlfriend dies during livestream
328,Pak woman gets ₹11 crore life insurance claims on fake death certificate
329,"'Golmaal 5' might happen, that depends on Rohit Shetty: Arshad"
330,I had five years of fear of getting rejected by Camila: Shawn
331,I'm not mentally strong enough to be on social media: Daniel
332,You expand your audience: Arshad defends regional films' Hindi remakes
333,Coronavirus vaccination in US will not be mandatory: Biden
334,"Travellers with COVID-19 history can skip quarantine, testing from Dec 10 in Iceland"
335,Where is the BJP storm?: Asaduddin Owaisi on GHMC election results
336,22-yr-old man arrested in Gurugram for 3 murders in 3 days
337,Delhi Sikh Gurdwara Management Committee provides food to farmers
338,"Loco pilot held for raping, filming, blackmailing minor girl in UP"
339,Police file charge sheet against Arnab Goswami in abetment to suicide case
340,Gold worth ₹35.5L recovered from smuggler's rectum at Chennai airport
341,Police book 14 people under anti-conversion law in UP's Mau
342,Violence level in Afghanistan unacceptably high: Mike Pompeo
343,13-year-old killed by Israeli forces during protest: Palestine
344,18 killed after carbon monoxide leak in China coal mine
345,Trump orders withdrawal of most US troops from Somalia
346,"TRS wins 55 seats, BJP 48 and AIMIM 44 in GHMC polls"
347,Manipal University Jaipur launches UGC-recognised online MBA
348,"SRK shouldn't have done 'Zero', what is there to act when playing a dwarf: Lilliput"
349,Australia question if Chahal was 'like-for-like' concussion substitute for Jadeja
350,"Referee approved it, why is there so much noise about it: Gavaskar on concussion sub"
351,Jadeja ruled out of remaining T20Is against Australia due to concussion
352,"Jeff Bezos shares video of rocket engine, says 'this will take 1st woman to moon'"
353,"China becomes second nation to plant flag on the Moon, releases picture"
354,Divers find Nazis' code machine used to send messages during WWII
355,"UK MPs say ₹5 lakh cr in cash missing, ask BoE to find out where it's 'stashed'"
356,Funny seeing Sara on screen because for me she's still a little girl: Saif
357,Women are getting powerful roles in B'wood now: Mahie Gill
358,"Rahul equals Kohli, Finch, Babar's record, becomes joint-fastest to 1,500 T20I runs"
359,Physio not coming out when Jadeja was hit breach of protocol: Manjrekar
360,"Bollywood lacks spine, should stand with their community: Vijender on farmers' protest"
361,"Twitter turns off threaded replies, shuts prototype app 'twttr'"
362,3rd phase of J&K DDC polls witnesses 50.53% voter turnout
363,AAP MP seeks Parliament’s special session to repeal 3 farm laws
364,Bengal CM calls for 3-day protest in Kolkata against farm laws
365,ISRO to help IIT Madras-incubated Agnikul test its small rocket
366,Great Barrier Reef in 'critical' state due to climate change: IUCN
367,Use of solar cookers saved women from rape: Padma Shri awardee Janak Palta
368,"Punjab CM says 'Kejriwal lies, Khattar thrashes' amid farmers' protest"
369,Hope France will get rid of Macron soon: Turkey President Erdogan
370,US defence bill challenges Trump's Germany troop withdrawal
371,CBI court rejects bail for top official at Mehul Choksi's firm
372,Global debt set to hit $200 trillion by end of 2020: S&P Global
373,Diljit gains over 4 lakh Twitter followers in a day after Twitter feud with Kangana
374,"Fire breaks out at Fatima's house, actress thanks fire department for prompt response"
375,Envoys of 80 nations to visit firms working on COVID-19 vaccine in Hyd
376,Not sure if people who get our vaccine can still spread COVID-19: Pfizer CEO
377,"Neesham trolls Williamson over celebration after scoring double century, shares pic"
378,Telangana Cong chief N Uttam Reddy quits amid counting for GHMC polls
379,NASA to pay company $1 to collect rocks from moon
380,Karnal groom rides tractor to wedding to show support to farmers' protest
381,"25-year-old UP jeweller's ring with 12,638 diamonds sets world record, pics out"
382,"Stan Swamy given straw, sipper by Taloja jail authorities: Lawyer"
383,Life before 'Student of the Year 2' was a bit more private: Tara
384,Dimple Kapadia to star in Shah Rukh Khan's 'Pathan': Reports
385,Bhumi Pednekar is the female version of Aamir Khan: Arshad Warsi
386,False reporting is dangerous: Sonam on Anil testing COVID-19 +ve reports
387,Amazon destroying jobs & climate in France: French activists
388,Google researcher alleges she was fired for criticising firm in an email
389,He is behaving like a BJP CM: Sisodia on Punjab CM over farm laws
390,MobiKwik raises ₹52 crore led by HT Group
391,China powers up its nuclear-powered 'artificial sun' for 1st time
392,"Air quality 'severe' in northern Kolkata, 'very poor' in most parts"
393,Sprinkle water before sweeping roads: NGT to local bodies over pollution
394,"Murder convict tries to kill self inside jail near Gurugram, rescued"
395,"WB CM announces free tablets for 9.5 lakh school, madrasa students"
396,MP man held for killing 65-yr-old ailing mother to implicate rivals
397,"Israel urges citizens to avoid travel to Gulf, cites Iran threat"
398,Progress made in resolving Saudi-led boycott of Qatar: Kuwait
399,Burger King India's ₹810 cr IPO subscribed 157 times on final day
400,Doctor's prescription no longer necessary for COVID-19 test in Gujarat
401,Jadeja smashes highest T20I score for India batting at no. 7 or below
402,"TRS takes the lead in GHMC polls by winning 46 seats, BJP wins 32 seats"
403,NASA shares 'how it started vs how it's going' pics of Stingray Nebula
404,"Astronaut harvests first-ever radishes grown in space, NASA shares pic"
405,Lakshadweep administrator Dineshwar Sharma passes away; PM condoles death
406,"US approves sale of $90 mn worth of military equipment, services to India"
407,US' Lockheed Martin reveals 1st pic of MH-60 Romeo helicopter for Indian Navy
408,ED seizes Vijay Mallya's property in France worth ₹14.3 crore
409,We are a hit couple: Tabu on 'A Suitable Boy' director Mira Nair
410,Anil Kapoor refutes reports of testing positive for COVID-19
411,"Concussion replacements strange thing, it worked for us: Kohli"
412,Got to know 10-15 mins before our bowling that I'll play: Chahal
413,IIT Kharagpur team develops AI tool to inspect quality of MSME goods
414,"T Rowe raises Paytm's valuation by 35%, takes enterprise value to $16B"
415,Workers of Toyota unit near B'luru to continue strike over workload
416,Noida Authority halts ₹605 cr project due to financial issues
417,K'taka govt portal hacker from B'luru sent to 13-day CCB custody
418,3 chain snatchers in Hyd arrested under Preventive Detention Act
419,DDC partners with think-tank to combat air pollution in Delhi-NCR
420,"SDMC plans skywalk, parking lots to decongest Malviya Nagar"
421,Mumbai businessman dies by suicide after killing his 2 daughters
422,16-yr-old boy shot dead after heated argument near Greater Noida
423,Pune civic body to survey properties for encroachment
424,3 foreigners held for possession of cocaine worth ₹22L in Mumbai
425,Hyderabad airport launches initiative to help passengers in need
426,Hodgepodge of lies: China on US intel chief's 'greatest threat' claims
427,Concussion substitute Chahal takes 3 wickets as India defeat Australia in first T20I
428,Farmers' union calls for Bharat Bandh on December 8
429,Plane makes emergency landing on US highway and crashes into SUV; video surfaces
430,AICTE extends engineering admissions' date till Dec 31 over late CET result
431,Moderna's COVID-19 vaccine helps antibodies last for 3 months: Study
432,"Langer seemingly objects to Jadeja's concussion substitution, Jaffer trolls him"
433,Monitoring Brahmaputra river amid reports of Chinese construction: India
434,CPCB notice to Delhi govt seeks quick action on pollution complaints
435,'Psycho killer' wanted for murder of 6 people shot dead by Ratlam police
436,Man named Adolf Hitler Uunona wins election in Namibia
437,Trump's lawyer farts during voter fraud hearing; video goes viral
438,"If content on digital platforms is censored, it will be sad: Manoj"
439,Ananya Panday would be apt to play Poo from K3G: Kareena
440,Hrithik Roshan to star in 'War' director's 'Fighter': Reports
441,I'm okay with it: Bhumi on comparisons with Anushka Shetty in Durgamati
442,My fans are just a bunch of people who really want to say good things: Vijay
443,Cong seeks Satyendar Jain’s removal over Delhi's 9k COVID-19 deaths
444,Suburban train services to begin in & around B'luru from Dec 7
445,"India are playing timidly, lacking aggressive approach: Vaughan"
446,"Impossible to monitor change of grip, stance: Taufel on banning switch hit"
447,9 arrested after hawala ring busted in Pune; ₹3.47 cr seized
448,"Event manager’s laptop, cash stolen from a 5-star hotel in Pune"
449,"NCP's Arun Lad wins Pune Graduate constituency with 1,22,145 votes"
450,Crop burning has stopped but Delhi's pollution is serious: Javadekar
451,We will veto a bad Brexit trade deal: France Minister
452,'World's loneliest elephant' won't live prisoner's life: US singer
